Num steps;Episode legth;Reward
20000;9;19.667444
40000;92;199.28593
60000;100;255.40158
80000;100;219.28513
100000;100;205.4187
120000;100;231.02087
140000;100;154.37129
160000;100;303.83276
180000;100;156.24759
200000;100;160.07164
220000;100;291.08215
240000;100;277.7241
260000;100;104.50372
280000;100;191.38644
300000;100;256.7184
320000;100;287.66553
340000;100;292.32455
360000;100;153.1768
380000;100;254.4432
400000;100;332.46106
420000;100;291.8769
440000;100;258.1135
460000;100;300.61832
480000;100;324.00406
